Employee_ID,Name,Department,Salary,Experience_Years
1001,Employee_1,Operations,49592,1
1002,Employee_2,Operations,71048,4
1003,Employee_3,IT,53289,12
1004,Employee_4,HR,123696,12
1005,Employee_5,Sales,46395,10
1006,Employee_6,Marketing,39165,1
1007,Employee_7,HR,63657,4
1008,Employee_8,Sales,113907,1
1009,Employee_9,Sales,61062,12
1010,Employee_10,Operations,126924,9
1011,Employee_11,Marketing,63893,8
1012,Employee_12,Sales,71463,13
1013,Employee_13,HR,134458,13
1014,Employee_14,IT,126506,7
1015,Employee_15,Finance,71421,3
1016,Employee_16,IT,135072,6
1017,Employee_17,HR,47156,7
1018,Employee_18,HR,82052,14
1019,Employee_19,Finance,114131,5
1020,Employee_20,HR,130647,8
1021,Employee_21,Sales,51361,15
1022,Employee_22,Marketing,45328,9
1023,Employee_23,Finance,143711,11
1024,Employee_24,Sales,147945,6
1025,Employee_25,Sales,60203,12
1026,Employee_26,HR,41006,11
1027,Employee_27,IT,136327,5
1028,Employee_28,HR,147108,4
1029,Employee_29,HR,84823,5
1030,Employee_30,Marketing,118320,14
1031,Employee_31,Finance,56319,6
1032,Employee_32,Finance,62460,11
1033,Employee_33,Finance,126988,15
1034,Employee_34,Operations,119939,2
1035,Employee_35,Sales,118227,3
1036,Employee_36,Sales,130568,4
1037,Employee_37,IT,95589,7
1038,Employee_38,Finance,118886,12
1039,Employee_39,Sales,63785,11
1040,Employee_40,Finance,145474,13
1041,Employee_41,HR,65021,14
1042,Employee_42,HR,140518,6
1043,Employee_43,Marketing,70093,2
1044,Employee_44,IT,109341,15
1045,Employee_45,Operations,76245,4
1046,Employee_46,Operations,100435,7
1047,Employee_47,Operations,95142,3
1048,Employee_48,Finance,53301,4
1049,Employee_49,Operations,108579,9
1050,Employee_50,Finance,132912,10
1051,Employee_51,Marketing,111484,7
1052,Employee_52,Finance,63746,3
1053,Employee_53,Sales,99686,2
1054,Employee_54,HR,147866,2
1055,Employee_55,IT,117240,3
1056,Employee_56,Operations,90333,10
1057,Employee_57,HR,85432,7
1058,Employee_58,Sales,96348,9
1059,Employee_59,Finance,107512,14
1060,Employee_60,HR,124166,12
1061,Employee_61,HR,124353,15
1062,Employee_62,Sales,133419,5
1063,Employee_63,Operations,79587,2
1064,Employee_64,Finance,91985,3
1065,Employee_65,Marketing,35425,12
1066,Employee_66,Operations,69522,9
1067,Employee_67,IT,101542,15
1068,Employee_68,HR,149100,11
1069,Employee_69,Finance,145319,11
1070,Employee_70,Sales,114818,4
1071,Employee_71,IT,84009,13
1072,Employee_72,IT,105697,13
1073,Employee_73,Sales,35074,10
1074,Employee_74,Finance,99042,1
1075,Employee_75,HR,82576,15
1076,Employee_76,Finance,66385,1
1077,Employee_77,IT,109364,2
1078,Employee_78,HR,130932,8
1079,Employee_79,HR,134693,9
1080,Employee_80,IT,51828,11
1081,Employee_81,Marketing,107063,3
1082,Employee_82,Finance,104163,14
1083,Employee_83,Sales,90461,4
1084,Employee_84,Sales,133994,12
1085,Employee_85,Operations,61365,12
1086,Employee_86,Finance,87296,11
1087,Employee_87,Operations,83944,8
1088,Employee_88,Sales,94177,2
1089,Employee_89,IT,64451,2
1090,Employee_90,Finance,37757,10
1091,Employee_91,Sales,65161,10
1092,Employee_92,IT,35942,2
1093,Employee_93,Operations,117719,1
1094,Employee_94,IT,43834,15
1095,Employee_95,HR,147674,6
1096,Employee_96,HR,102391,4
1097,Employee_97,Finance,122684,8
1098,Employee_98,IT,105678,3
1099,Employee_99,Operations,109847,10
1100,Employee_100,Marketing,66850,13
