Student_ID,Name,Course,Fees,City
2001,Student_1,MBA,93354,Mumbai
2002,Student_2,B.Tech,52704,Chennai
2003,Student_3,MBA,86438,Pune
2004,Student_4,MBA,101213,Chennai
2005,Student_5,B.Tech,52899,Delhi
2006,Student_6,MBA,84473,Delhi
2007,Student_7,BCA,65112,Mumbai
2008,Student_8,B.Sc,98800,Mumbai
2009,Student_9,MBA,64050,Bangalore
2010,Student_10,MBA,72742,Delhi
2011,Student_11,MBA,112132,Delhi
2012,Student_12,B.Tech,110855,Delhi
2013,Student_13,B.Tech,70982,Mumbai
2014,Student_14,MBA,103653,Pune
2015,Student_15,BCA,92565,Delhi
2016,Student_16,BCA,89672,Delhi
2017,Student_17,MBA,74760,Pune
2018,Student_18,MCA,95444,Chennai
2019,Student_19,M.Tech,112845,Chennai
2020,Student_20,M.Tech,103788,Mumbai
2021,Student_21,BCA,78890,Mumbai
2022,Student_22,B.Tech,115914,Chennai
2023,Student_23,B.Sc,47989,Chennai
2024,Student_24,MCA,47492,Delhi
2025,Student_25,B.Sc,102493,Hyderabad
2026,Student_26,B.Sc,60635,Delhi
2027,Student_27,B.Sc,50500,Mumbai
2028,Student_28,B.Tech,117992,Delhi
2029,Student_29,M.Tech,70828,Pune
2030,Student_30,B.Tech,114668,Mumbai
2031,Student_31,B.Sc,117924,Delhi
2032,Student_32,B.Sc,50745,Pune
2033,Student_33,M.Tech,116503,Hyderabad
2034,Student_34,B.Sc,81467,Bangalore
2035,Student_35,BCA,81180,Mumbai
2036,Student_36,MCA,91876,Mumbai
2037,Student_37,M.Tech,79321,Pune
2038,Student_38,MCA,49508,Delhi
2039,Student_39,MBA,113792,Delhi
2040,Student_40,B.Tech,110468,Mumbai
2041,Student_41,B.Sc,74760,Mumbai
2042,Student_42,MCA,49016,Mumbai
2043,Student_43,MCA,77353,Mumbai
2044,Student_44,MBA,111200,Chennai
2045,Student_45,MCA,109329,Delhi
2046,Student_46,M.Tech,112692,Bangalore
2047,Student_47,M.Tech,53577,Mumbai
2048,Student_48,MCA,55129,Delhi
2049,Student_49,M.Tech,112512,Mumbai
2050,Student_50,MCA,76930,Hyderabad
2051,Student_51,BCA,84942,Mumbai
2052,Student_52,M.Tech,74600,Hyderabad
2053,Student_53,MBA,72914,Delhi
2054,Student_54,B.Tech,95518,Bangalore
2055,Student_55,B.Tech,40464,Bangalore
2056,Student_56,BCA,74335,Mumbai
2057,Student_57,M.Tech,97912,Hyderabad
2058,Student_58,M.Tech,96057,Hyderabad
2059,Student_59,B.Tech,54663,Delhi
2060,Student_60,M.Tech,59536,Hyderabad
2061,Student_61,B.Tech,88393,Hyderabad
2062,Student_62,B.Sc,59410,Pune
2063,Student_63,BCA,45482,Bangalore
2064,Student_64,MCA,45229,Bangalore
2065,Student_65,BCA,72706,Chennai
2066,Student_66,B.Tech,86357,Hyderabad
2067,Student_67,MBA,60257,Mumbai
2068,Student_68,BCA,63206,Pune
2069,Student_69,B.Tech,63509,Chennai
2070,Student_70,MCA,93964,Chennai
2071,Student_71,M.Tech,72527,Bangalore
2072,Student_72,BCA,54168,Pune
2073,Student_73,B.Tech,101694,Mumbai
2074,Student_74,BCA,100332,Bangalore
2075,Student_75,MCA,69831,Mumbai
2076,Student_76,B.Tech,65313,Pune
2077,Student_77,MCA,76517,Delhi
2078,Student_78,MCA,86025,Chennai
2079,Student_79,B.Sc,92386,Chennai
2080,Student_80,B.Sc,83404,Delhi
2081,Student_81,B.Tech,74237,Mumbai
2082,Student_82,B.Sc,74795,Delhi
2083,Student_83,B.Tech,118193,Pune
2084,Student_84,MCA,81114,Pune
2085,Student_85,B.Sc,107033,Delhi
2086,Student_86,MBA,115574,Mumbai
2087,Student_87,MCA,45817,Chennai
2088,Student_88,MBA,40221,Hyderabad
2089,Student_89,B.Sc,65825,Bangalore
2090,Student_90,MBA,49171,Chennai
2091,Student_91,MCA,81145,Chennai
2092,Student_92,B.Tech,79363,Hyderabad
2093,Student_93,MCA,93528,Bangalore
2094,Student_94,MBA,78752,Hyderabad
2095,Student_95,BCA,65144,Pune
2096,Student_96,M.Tech,89695,Chennai
2097,Student_97,M.Tech,62810,Hyderabad
2098,Student_98,B.Sc,79446,Pune
2099,Student_99,B.Sc,40053,Bangalore
2100,Student_100,MCA,67549,Pune
